Year,Category,Nominee,Artist,Winner,Track_ID,Popularity,Danceability,Energy,Tempo
2019,Best Dance Recording,Piece Of Your Heart,Meduza Featuring Goodboys,True,4GXnutk4q9KXJUgkGJcc4I,1,0.677,0.744,124.077
2019,Best Dance Recording,Piece Of Your Heart,Meduza Featuring Goodboys,True,3ksIpMf8hNYWAyTiMZJ6Xb,0,0.677,0.744,124.077
2019,Best Dance Recording,Piece Of Your Heart,Meduza Featuring Goodboys,True,0u5K7xSRTLnBkeERwTypzN,0,0.677,0.744,124.077
2019,Best Dance Recording,Piece Of Your Heart,Meduza Featuring Goodboys,True,1DFD5Fotzgn6yYXkYsKiGs,77,0.677,0.744,124.08
2019,Best Dance Recording,Underwater,RÜFÜS DU SOL,True,1V8aPypxFrIk5TSa8E3qM0,56,0.364,0.00222,135.805
2019,Best Dance Recording,Underwater,RÜFÜS DU SOL,True,3Dk2StRqlP3JmXIY4aWyvA,18,0.228,0.153,136.914
2019,Best Dance Recording,Underwater,RÜFÜS DU SOL,True,5UkM8D1WUBLvnXGRwt2lXI,60,0.661,0.703,111.987
2019,Best Dance Recording,Underwater,RÜFÜS DU SOL,True,6qnULXVFGfFqPj0Hpj0tIG,60,0.672,0.679,123.019
2019,Best Dance Recording,Underwater,RÜFÜS DU SOL,True,5fnndSCNEnRYozMDZr0gbU,53,0.684,0.504,114.982
2019,Best Dance Recording,Underwater,RÜFÜS DU SOL,True,3c9IKwzgIPcCweCl9so748,69,0.703,0.692,124.077
2019,Best Dance/Electronic Album,No Geography,The Chemical Brothers,True,59Pm53KuA0xaLHcSAX94wk,43,0.369,0.818,126.011
2019,Best Dance/Electronic Album,Weather,Tycho Featuring Saint Sinner,True,7i1DkDc2j0yVsSt3jjDvk3,62,0.527,0.242,143.848
2019,Best Contemporary Instrumental Album,Elevate,Lettuce,True,7rOcHMYABCWUrgZWzQoLem,38,0.621,0.808,121.984
2019,Best Rock Performance,Woman,Karen O & Danger Mouse,True,2mIla23uhGqqkdNtzqIg3r,0,0.236,0.94,151.296
2019,Best Rock Performance,Woman,Karen O & Danger Mouse,True,2pcwmk8c1pTYwX0COSVX52,61,0.191,0.948,150.753
2019,Best Rock Performance,Woman,Karen O & Danger Mouse,True,6Uj1ctrBOjOas8xZXGqKk4,88,0.824,0.764,107.998
2019,Best Rock Performance,Woman,Karen O & Danger Mouse,True,5v8Fxy6Zw8gOzi802lpDOt,62,0.831,0.601,104.068
2019,Best Rock Performance,Woman,Karen O & Danger Mouse,True,3AUW4YqukPw4YfBV1ZkkNe,56,0.831,0.601,104.068
2019,Best Rock Performance,Woman,Karen O & Danger Mouse,True,3CkjLJYnnyOtGk4Jx4iYS4,65,0.219,0.952,112.886
2019,Best Rock Performance,Woman,Karen O & Danger Mouse,True,5SaUkLu1jwrpDjN05blpFV,21,0.7,0.371,93.262
2006,Best Hard Rock Performance,Woman,Wolfmother,True,2mIla23uhGqqkdNtzqIg3r,0,0.236,0.94,151.296
2006,Best Hard Rock Performance,Woman,Wolfmother,True,2pcwmk8c1pTYwX0COSVX52,61,0.191,0.948,150.753
2006,Best Hard Rock Performance,Woman,Wolfmother,True,6Uj1ctrBOjOas8xZXGqKk4,88,0.824,0.764,107.998
2006,Best Hard Rock Performance,Woman,Wolfmother,True,5v8Fxy6Zw8gOzi802lpDOt,62,0.831,0.601,104.068
2006,Best Hard Rock Performance,Woman,Wolfmother,True,3AUW4YqukPw4YfBV1ZkkNe,56,0.831,0.601,104.068
2006,Best Hard Rock Performance,Woman,Wolfmother,True,3CkjLJYnnyOtGk4Jx4iYS4,65,0.219,0.952,112.886
2006,Best Hard Rock Performance,Woman,Wolfmother,True,5SaUkLu1jwrpDjN05blpFV,21,0.7,0.371,93.262
2019,Best Rock Performance,Too Bad,Rival Sons,True,2cCWbBmadLbKvr9xddC79R,60,0.598,0.808,128.025
1973,Best Jazz Performance By A Big Band,Giant Steps,Woody Herman,True,4tPMiv9ohCmHqZwHMuZhX8,17,0.403,0.849,170.079
2019,Best Metal Performance,Bow Down,I Prevail,True,5KA6S4auXremQLoBIsKprz,55,0.892,0.455,92.885
2019,Best Metal Performance,Bow Down,I Prevail,True,5qD3Qv8Wu3r5uRD0DahcZy,65,0.426,0.959,155.01
2019,Best Rock Album,In The End,The Cranberries,True,1RTYixE1DD3g3upEpmCJpa,71,0.442,0.939,140.021
2019,Best Rock Album,In The End,The Cranberries,True,60a0Rd6pjrkxjPbaKzXjfq,85,0.556,0.864,105.143
2019,Best Rock Album,In The End,The Cranberries,True,6zyrb7dW1IR4Hrc8nXJsln,54,0.555,0.844,105.193
2019,Best Rock Album,In The End,The Cranberries,True,7q115ia4fQn9zonjpexWsY,48,0.556,0.864,105.143
2019,Best Rock Album,In The End,The Cranberries,True,47RdxOp686m51Z8QWf5DHp,50,0.433,0.96,174.012
2019,Best Rock Album,In The End,The Cranberries,True,23FvAAvnx3NzbTmMiod5nf,60,0.477,0.0384,91.452
2019,Best Rock Album,In The End,The Cranberries,True,6qLOjFCDPQUHMtsdAMnUaH,43,0.484,0.718,140.029
2019,Best Alternative Music Album,Anima,Thom Yorke,True,2j1r3ubqqxuoTFaPVnTV1j,61,0.455,0.918,96.513
2019,Best Boxed Or Special Limited Edition Package,Anima,,True,2j1r3ubqqxuoTFaPVnTV1j,61,0.455,0.918,96.513
2019,Best Music Film,Anima,Thom Yorke,True,2j1r3ubqqxuoTFaPVnTV1j,61,0.455,0.918,96.513
2019,Best R&B Performance,Come Home,Anderson .Paak Featuring André 3000,True,42ifApJktyytpdvgkEy14t,22,0.629,0.62,127.161
2019,Best R&B Performance,Come Home,Anderson .Paak Featuring André 3000,True,348MCvZbnPrsHkxq6w8cif,48,0.521,0.155,75.003
2019,Best R&B Performance,Come Home,Anderson .Paak Featuring André 3000,True,1ZJFc8isFWKXtN1BlE20fX,55,0.519,0.827,128.059
2019,Best R&B Performance,Love Again,Daniel Caesar & Brandy,True,6ncsVXsY8FaxpK5yg1eMHI,62,0.643,0.417,94.435
2019,Best R&B Performance,Love Again,Daniel Caesar & Brandy,True,6WarP4oMloYg0Z8H8IHeDq,56,0.679,0.876,125.985
2019,Best Traditional R&B Performance,Jerome,Lizzo,True,0E5YSgxs1kQqC5vOhQN6B8,38,0.759,0.828,75.004
2019,Best R&B Song,Say So,,True,3Dv1eDb0MEgF93GpLXlucZ,79,0.787,0.673,110.962
2019,Best R&B Song,Look At Me Now,,True,46eK1kembooWblMi7M7yLM,68,0.649,0.538,160.075
2019,Best Urban Contemporary Album,Saturn,NAO,True,3tJjZMHLqhD8DaGgdBICnc,68,0.263,0.237,73.024
2019,Best Urban Contemporary Album,Saturn,NAO,True,1a9rOeuuSEYpyRupt4D1Po,56,0.764,0.342,139.895
2019,Best Urban Contemporary Album,Saturn,NAO,True,5gR8M5w1A7AzeAGZDf1Lqf,1,0.541,0.485,87.577
2019,Best R&B Album,Paul,PJ Morton,True,4Dl15Nv5e6XdyzwG0hZbCJ,40,0.366,0.961,184.094
2019,Best Rap Performance,Clout,Offset Featuring Cardi B,True,2inOdpcpLUNsxeKaCbCg1r,25,0.699,0.62,158.04
2019,Best Rap Performance,Clout,Offset Featuring Cardi B,True,5HIMWb1gP286Vjpe3MrvhC,3,0.919,0.622,140.022
2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,True,589SiueQ3yldZpKQMBGKk5,19,0.765,0.888,120.042
2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,True,0sJ4NbFdEhgLOtInlbRmFl,60,0.449,0.745,83.918
2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,True,7gfFqigmPAHrHt6c84b5cm,59,0.494,0.941,174.056
2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,True,1lZi0ulnmx8lbFucUpMhnF,19,0.361,0.838,84.753
2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,True,39lxs02zC9wpqB0sxufKKI,46,0.424,0.872,85.312
2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,True,1hyArQROdqFiYRRRWbHJhW,23,0.494,0.941,174.056
2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,True,7HXv3CYaZfL5PVtMAcJsmw,2,0.716,0.736,104.018
2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,True,1ZozJfi8u9cO2Ob8KwiwNT,71,0.459,0.83,155.827
2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,True,2hbnyNOkpJ1kPyGsdEgXzd,0,0.685,0.938,126.012
2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,True,4dX0aZedgPrxyhX4WBNQxP,21,0.281,0.399,182.425
2019,Best Rap/Sung Performance,Drip Too Hard,Lil Baby & Gunna,True,3FQwvjvKnE3O4YKawVUNpA,0,0.897,0.662,112.509
1978,Best Country Song,The Gambler,,True,5KqldkCunQ2rWxruMEtGh0,75,0.671,0.501,87.04
1978,Best Country Song,The Gambler,,True,5gev1cjS7Y3QrOG4ls2nFi,37,0.792,0.527,87.24
1979,"Best Country Vocal Performance, Male",The Gambler,Kenny Rogers,True,5KqldkCunQ2rWxruMEtGh0,75,0.671,0.501,87.04
1979,"Best Country Vocal Performance, Male",The Gambler,Kenny Rogers,True,5gev1cjS7Y3QrOG4ls2nFi,37,0.792,0.527,87.24
2019,Best Country Solo Performance,God's Country,Blake Shelton,True,6hES6A4ZOL8MzYpULEfsoZ,0,0.537,0.754,139.986
2019,Best Country Duo/Group Performance,Speechless,Dan + Shay,True,7LgyKYscgD7wkzsLRRTTpd,0,0.616,0.437,135.939
2019,Best Country Duo/Group Performance,Speechless,Dan + Shay,True,3GJ4hzg4lrGwU51Y3VARbF,72,0.616,0.438,135.929
2019,Best Country Duo/Group Performance,Speechless,Dan + Shay,True,0Yu7xTujO7aKsVww6npA95,51,0.695,0.566,120.037
